=== PART 3: SIGNED RESTORING-TORQUE COMPARISON @ step=8000 ===
Reads float32 SoA pose; CPU formula uses Pt3D.fastAcos (Math.acos in [-0.95,0.95]);
GPU formula uses accurateAcos (Newton-refined) and float-narrowed params.
torsionMag is the SIGNED scalar applied to lever (+) / motor (-) for LM, or rod (+) / lever (-) for RL.

idx  cock joint      theta_deg   tau_CPU(N*m)   tau_GPU(N*m)  diff(GPU-CPU)
0       n LM           14.0539   1.002386e-20   1.004916e-20   2.530125e-23
0       - RL           36.3394   0.000000e+00   0.000000e+00   0.000000e+00
1       n LM           28.3011   2.018557e-20   2.018557e-20   1.518451e-27
1       - RL          101.0616   0.000000e+00   0.000000e+00   0.000000e+00
2       n LM           30.8986   2.203823e-20   2.203823e-20   1.657816e-27
2       - RL          146.4643   0.000000e+00   0.000000e+00   0.000000e+00
3       n LM           20.8838   1.489524e-20   1.489524e-20   1.120488e-27
3       - RL          160.1775   0.000000e+00   0.000000e+00   0.000000e+00
4       n LM           24.4082   1.740899e-20   1.740899e-20   1.309584e-27
4       - RL           31.0332   0.000000e+00   0.000000e+00   0.000000e+00
5       n LM            9.4906   6.769105e-21   6.776868e-21   7.763078e-24
5       - RL          102.2152   0.000000e+00   0.000000e+00   0.000000e+00
6       n LM            7.1245   5.081474e-21   5.084754e-21   3.279775e-24
6       - RL           75.4783   0.000000e+00   0.000000e+00   0.000000e+00
7       n LM           21.0028   1.498012e-20   1.498013e-20   1.126874e-27
7       - RL           45.5837   0.000000e+00   0.000000e+00   0.000000e+00
8       n LM           29.6714   2.116294e-20   2.116295e-20   1.591974e-27
8       - RL          147.0267   0.000000e+00   0.000000e+00   0.000000e+00
9       n LM           12.9113   9.208868e-21   9.228466e-21   1.959723e-23
9       - RL          124.2201   0.000000e+00   0.000000e+00   0.000000e+00
10      n LM           16.1531   1.152108e-20   1.155958e-20   3.850072e-23
10      - RL          104.8631   0.000000e+00   0.000000e+00   0.000000e+00
11      n LM           17.6862   1.261456e-20   1.266519e-20   5.062784e-23
11      - RL          134.0327   0.000000e+00   0.000000e+00   0.000000e+00
12      n LM           28.8483   2.057585e-20   2.057586e-20   1.547810e-27
12      - RL          106.2629   0.000000e+00   0.000000e+00   0.000000e+00
13      n LM           15.7943   1.126520e-20   1.130118e-20   3.597775e-23
13      - RL          126.0023   0.000000e+00   0.000000e+00   0.000000e+00
14      n LM           25.1249   1.792018e-20   1.792018e-20   1.348038e-27
14      - RL          109.3670   0.000000e+00   0.000000e+00   0.000000e+00
15      n LM           17.2953   1.233579e-20   1.238311e-20   4.732244e-23
15      - RL           69.0366   0.000000e+00   0.000000e+00   0.000000e+00
16      n LM            4.5414   3.239146e-21   3.239995e-21   8.487725e-25
16      - RL           34.2980   0.000000e+00   0.000000e+00   0.000000e+00
17      n LM           20.7082   1.477000e-20   1.477000e-20   1.111067e-27
17      - RL          149.1014   0.000000e+00   0.000000e+00   0.000000e+00
18      n LM           20.6320   1.471565e-20   1.471565e-20   1.106979e-27
18      - RL          123.6290   0.000000e+00   0.000000e+00   0.000000e+00
19      n LM           19.2914   1.375947e-20   1.375947e-20   1.035050e-27
19      - RL           73.4294   0.000000e+00   0.000000e+00   0.000000e+00

LM mean (tau_GPU - tau_CPU) = 1.146167e-23 N*m  over 20 myosins
RL mean (tau_GPU - tau_CPU) = 0.000000e+00 N*m  over 20 myosins
=== END PART 3 ===
