=== A_OFF ===
   frame                  segCt     overX     overY     overZ ovCt
   frame_000013.json          6   0.00000   0.00063   0.00000    1
   frame_000019.json          6   0.00000   0.00000   0.02320    1
   frame_000020.json          6   0.01041   0.00000   0.00000    1
   frame_000022.json          6   0.00000   0.01404   0.00000    1
   frame_000027.json         11   0.00000   0.00000   0.01371    1
   frame_000030.json         12   0.00000   0.00045   0.00057    2
   frame_000032.json         12   0.00000   0.00241   0.00000    1
   frame_000036.json         12   0.00000   0.00136   0.00438    1
   frame_000037.json         12   0.00000   0.00304   0.00000    1
   frame_000042.json         12   0.00000   0.00125   0.00000    1
   frame_000044.json         12   0.00000   0.00000   0.00233    1
   frame_000045.json         12   0.00000   0.00000   0.00035    1
   frame_000046.json         12   0.00000   0.00325   0.00000    1
   frame_000050.json         12   0.00000   0.00000   0.00132    1
   frame_000051.json         12   0.00143   0.00118   0.00000    3
   frame_000056.json         13   0.06441   0.00000   0.02661    1
   frame_000057.json         14   0.00000   0.09310   0.04608    2
   frame_000058.json         14   0.00000   0.00000   0.00175    2
   frame_000059.json         17   0.06593   0.07587   0.02862    4
   frame_000060.json         17   0.00103   0.00000   0.00000    1
   frame_000061.json         18   0.11119   0.00062   0.03432    2
   frame_000063.json         18   0.00123   0.00199   0.00000    2
   frame_000064.json         18   0.00385   0.00000   0.00000    2
   frame_000065.json         18   0.00268   0.00191   0.00000    2
   frame_000066.json         18   0.00346   0.00000   0.00194    3
   frame_000067.json         18   0.00095   0.00107   0.00000    2
   frame_000068.json         18   0.00224   0.00120   0.00281    3
   frame_000069.json         18   0.00153   0.00454   0.00268    3
   frame_000070.json         18   0.00290   0.00396   0.00138    3
   frame_000071.json         18   0.00054   0.00315   0.00000    2
   frame_000072.json         18   0.00548   0.00018   0.00084    4
   frame_000073.json         18   0.00136   0.00000   0.00000    2
   frame_000074.json         19   0.00146   0.00025   0.00052    4
   frame_000075.json         19   0.00802   0.00016   0.00000    3
   frame_000076.json         20   0.00208   0.00115   0.00070    6
   frame_000077.json         20   0.00395   0.00065   0.00188    5
   frame_000078.json         20   0.00118   0.00073   0.00000    2
   frame_000079.json         24   0.00376   0.00344   0.00000    2
   frame_000080.json         24   0.00241   0.00222   0.00000    4
   frame_000081.json         24   0.00305   0.00218   0.00000    4
   frame_000082.json         24   0.00000   0.00051   0.00070    3
   frame_000083.json         24   0.00558   0.00000   0.00086    3
   frame_000084.json         24   0.00355   0.00000   0.00116    3
   frame_000085.json         24   0.00211   0.00169   0.00252    7
   frame_000086.json         24   0.00049   0.00028   0.00000    3
   frame_000087.json         24   0.00349   0.00549   0.00000    2
   frame_000088.json         24   0.00290   0.00494   0.00196    6
   frame_000089.json         25   0.08927   0.00831   0.06899    3
   frame_000090.json         25   0.00097   0.00241   0.00000    3
   frame_000091.json         27   0.07568   0.08634   0.00000    3
   frame_000092.json         29   0.00561   0.00617   0.00165    5
   frame_000093.json         30   0.10102   0.05385   0.01439    4
   frame_000094.json         30   0.00294   0.00338   0.00369    5
   frame_000095.json         30   0.00000   0.01006   0.00320    2
   frame_000096.json         30   0.00361   0.00500   0.00482    7
   frame_000097.json         30   0.00086   0.00278   0.00048    4
   frame_000098.json         30   0.00273   0.00329   0.00073    5
   frame_000099.json         30   0.00497   0.00702   0.00128    5
   frame_000100.json         30   0.00450   0.00666   0.00355    4
   segCt trajectory: f0=6  f25=8  f50=12  f75=19  f100=30

=== B_ON ===
   frame                  segCt     overX     overY     overZ ovCt
   frame_000000.json          6   0.00121   0.00000   0.00000    2
   frame_000001.json          6   0.00382   0.00000   0.00000    1
   frame_000014.json          6   0.00000   0.00000   0.00022    1
   frame_000015.json          6   0.00964   0.00000   0.00081    2
   frame_000022.json          6   0.00000   0.00000   0.00141    1
   frame_000025.json          6   0.00000   0.01512   0.00065    2
   frame_000033.json         11   0.00110   0.00000   0.00000    1
   frame_000034.json         12   0.00000   0.03514   0.00000    1
   frame_000039.json         12   0.00000   0.00253   0.00000    2
   frame_000040.json         12   0.00000   0.00147   0.00000    1
   frame_000043.json         12   0.00000   0.00627   0.00000    1
   frame_000044.json         12   0.00000   0.00258   0.00000    1
   frame_000056.json         12   0.00000   0.00213   0.00000    1
   frame_000058.json         13   0.00000   0.00002   0.00000    1
   frame_000061.json         13   0.00000   0.00019   0.00000    1
   frame_000065.json         13   0.00138   0.00112   0.00000    2
   frame_000066.json         13   0.00026   0.00027   0.00000    2
   frame_000069.json         14   0.00155   0.00014   0.00000    2
   frame_000070.json         15   0.00030   0.00000   0.00000    1
   frame_000071.json         17   0.00007   0.09725   0.04650    2
   frame_000072.json         17   0.00000   0.00000   0.00161    1
   frame_000073.json         17   0.00000   0.00171   0.00000    2
   frame_000075.json         17   0.00227   0.00000   0.00000    1
   frame_000077.json         18   0.00000   0.00000   0.00085    2
   frame_000081.json         21   0.08113   0.00000   0.06117    1
   frame_000083.json         23   0.09135   0.00025   0.04549    3
   frame_000084.json         24   0.00386   0.00075   0.00000    3
   frame_000086.json         24   0.00108   0.00000   0.00000    1
   frame_000088.json         24   0.00120   0.00000   0.00000    1
   frame_000089.json         24   0.00110   0.00000   0.00000    1
   frame_000090.json         24   0.00000   0.00000   0.00000    0
   frame_000091.json         24   0.00234   0.00000   0.00000    1
   frame_000092.json         24   0.00000   0.00000   0.00000    0
   frame_000093.json         24   0.00000   0.00112   0.00000    1
   frame_000094.json         24   0.00000   0.00000   0.00668    1
   frame_000095.json         24   0.00011   0.00000   0.00000    1
   frame_000096.json         24   0.00000   0.00075   0.00049    2
   frame_000097.json         24   0.00231   0.00000   0.00198    4
   frame_000098.json         24   0.00289   0.00098   0.00000    2
   frame_000099.json         24   0.00009   0.00000   0.00000    1
   frame_000100.json         24   0.00312   0.00247   0.00000    2
   segCt trajectory: f0=6  f25=6  f50=12  f75=17  f100=24

=== R_CPU ===
   frame                  segCt     overX     overY     overZ ovCt
   frame_000009.json          6   0.00303   0.00000   0.00000    1
   frame_000023.json          7   0.00031   0.00000   0.00000    1
   frame_000028.json          8   0.00011   0.00000   0.00000    1
   frame_000030.json         10   0.00119   0.00000   0.00000    1
   frame_000032.json         11   0.09062   0.00000   0.00000    1
   frame_000035.json         12   0.00000   0.00028   0.00000    2
   frame_000037.json         12   0.00000   0.00000   0.00010    1
   frame_000038.json         12   0.00000   0.00000   0.00027    1
   frame_000043.json         12   0.00000   0.00000   0.00369    1
   frame_000046.json         12   0.00000   0.00000   0.00196    1
   frame_000049.json         12   0.00000   0.00210   0.00000    1
   frame_000052.json         12   0.00000   0.00000   0.00027    1
   frame_000054.json         12   0.00150   0.00000   0.00000    1
   frame_000057.json         13   0.00000   0.03812   0.00000    1
   frame_000062.json         13   0.00291   0.00073   0.00000    2
   frame_000063.json         14   0.00213   0.07626   0.00000    2
   frame_000064.json         14   0.00000   0.00087   0.00000    1
   frame_000066.json         15   0.00011   0.00000   0.00000    1
   frame_000069.json         15   0.00000   0.00000   0.00120    2
   frame_000070.json         15   0.00025   0.00000   0.00000    1
   frame_000071.json         16   0.00306   0.00040   0.00244    3
   frame_000072.json         16   0.00001   0.00073   0.00012    3
   frame_000073.json         16   0.00167   0.00000   0.00000    1
   frame_000074.json         17   0.08175   0.00000   0.00000    2
   frame_000075.json         17   0.00000   0.00000   0.00027    1
   frame_000077.json         17   0.00229   0.00000   0.00000    1
   frame_000080.json         21   0.00000   0.00172   0.00000    1
   frame_000082.json         22   0.00000   0.00000   0.00255    2
   frame_000083.json         23   0.00013   0.00000   0.00000    1
   frame_000085.json         23   0.00000   0.00201   0.00000    2
   frame_000086.json         23   0.00031   0.00000   0.00129    2
   frame_000087.json         23   0.00000   0.00000   0.00023    1
   frame_000089.json         23   0.00000   0.00000   0.00000    0
   frame_000090.json         23   0.00000   0.00000   0.00000    0
   frame_000091.json         23   0.00000   0.00000   0.00000    0
   frame_000092.json         23   0.00000   0.00000   0.00000    0
   frame_000093.json         23   0.00000   0.00000   0.00000    0
   frame_000094.json         24   0.00000   0.00000   0.00000    0
   frame_000095.json         24   0.00000   0.00000   0.00000    0
   frame_000096.json         24   0.00000   0.00000   0.00000    0
   frame_000097.json         24   0.00000   0.00000   0.00000    0
   frame_000098.json         24   0.00000   0.00000   0.00000    0
   frame_000099.json         24   0.00000   0.00000   0.00000    0
   frame_000100.json         24   0.00180   0.00000   0.00000    2
   segCt trajectory: f0=6  f25=8  f50=12  f75=17  f100=24

