arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,743,6.762,7.3729,326
cpu,1,777,6.653,8.4786,336
device,2,1033,8.477,8.5921,325
cpu,2,918,7.253,8.5407,336
device,3,766,7.098,7.8036,324
cpu,3,899,7.248,7.7525,332
device,4,1121,8.393,8.9457,328
cpu,4,1000,8.529,8.1011,333
device,5,694,6.811,8.5238,322
cpu,5,913,7.164,8.1382,336
device,6,868,7.191,7.3966,324
cpu,6,1235,8.930,8.8726,335
device,7,785,6.544,8.0263,327
cpu,7,843,6.896,8.4168,334
device,8,839,7.559,8.3697,326
cpu,8,608,5.298,7.5532,336
device,9,896,7.928,8.0357,329
cpu,9,886,7.641,8.2590,334
device,10,856,7.216,8.1743,327
cpu,10,818,7.230,7.2781,334
device,11,601,5.979,7.1534,324
cpu,11,841,7.877,7.9461,334
device,12,764,6.681,7.3390,323
cpu,12,861,7.191,8.3973,334
device,13,1059,8.608,8.2991,325
cpu,13,809,6.887,7.7420,332
device,14,963,8.196,8.1464,326
cpu,14,748,6.412,7.3451,335
device,15,827,6.917,7.3745,326
cpu,15,757,6.982,7.3997,336
device,16,916,6.923,8.2647,326
cpu,16,970,8.098,8.0842,333
device,17,916,7.786,8.3862,325
cpu,17,933,7.657,7.9098,334
device,18,785,6.850,7.9237,325
cpu,18,862,7.257,8.1657,336
device,19,1024,7.780,8.0401,325
cpu,19,925,7.574,8.5700,334
device,20,750,6.515,7.9491,327
cpu,20,829,7.405,7.6215,335
