arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,656,5.551,7.5553,337
cpu,1,843,7.213,8.3544,332
device,2,918,7.910,8.2141,334
cpu,2,895,7.677,8.0847,331
device,3,858,7.472,7.5424,336
cpu,3,979,7.648,8.1429,330
device,4,875,7.790,7.8085,335
cpu,4,816,6.973,7.5278,328
device,5,868,7.680,7.8465,333
cpu,5,758,6.874,7.8524,333
device,6,824,7.645,7.3104,333
cpu,6,1054,8.031,7.9419,332
device,7,562,5.259,6.8884,334
cpu,7,786,6.737,7.8650,331
device,8,751,6.758,8.1011,332
cpu,8,925,7.714,8.0108,333
device,9,753,6.945,7.9010,333
cpu,9,655,5.865,6.8014,332
device,10,745,7.316,7.4641,331
cpu,10,905,7.699,8.1050,333
device,11,777,7.472,7.9222,333
cpu,11,955,7.590,8.0599,331
device,12,896,8.408,7.6217,334
cpu,12,622,5.706,7.1853,331
device,13,841,7.800,7.7100,334
cpu,13,795,7.033,7.5884,331
device,14,912,7.755,7.1942,331
cpu,14,774,6.196,7.0679,329
device,15,832,7.790,6.9200,333
cpu,15,955,7.696,8.2182,329
device,16,581,5.255,6.7703,334
cpu,16,731,6.380,8.0930,332
device,17,703,6.228,7.4791,335
cpu,17,1133,8.547,8.7559,331
device,18,830,6.855,8.0730,336
cpu,18,860,6.541,8.3198,332
device,19,816,7.483,7.4476,335
cpu,19,899,7.538,7.4945,332
device,20,704,6.611,7.8671,334
cpu,20,951,7.657,8.2109,329
