F1 viewer-confinement A/B summary (gliding500, 1000 steps, single glider)
box halfs: (7.0, 1.0, 0.25)
frame                   armA_maxX armA_oversAx |  armB_maxX armB_oversBx
frame_000000.json         7.08600     1 |    7.08650     1
frame_000001.json         7.02090     1 |    7.02630     1
frame_000002.json         7.01510     1 |    7.01410     1
frame_000003.json         7.00530     1 |    7.00550     1
frame_000004.json         6.99990     0 |    7.00690     1
frame_000005.json         6.99680     0 |    7.00030     1
frame_000006.json         7.00060     1 |    6.99500     0
frame_000007.json         6.99720     0 |    6.99370     0
frame_000008.json         6.98940     0 |    6.99090     0
frame_000009.json         6.99780     0 |    6.98470     0
frame_000010.json         6.99200     0 |    6.97670     0
frame_000011.json         6.98750     0 |    6.98610     0
