simTime	densityIndex	surfaceDensity	filamentId	filamentLength	posX	posY	posZ	distMoved	vecMovedX	vecMovedY	vecMovedZ	instantaneousSpeed	longWindowSpeedXY	longWindowSettling	avgBoundMotors	footprintMotors	footprintDutyRatio	headsWithinReachDR
0.0010100	0	500.00	0	2.0277	6.1088	0.0059424	-0.0012487	0.30364	-0.30358	0.0057214	-0.0022792	303.64	303.63	1	0.0700	183	0.0004	0.0000
0.0020100	0	500.00	0	2.0277	6.0907	0.0040005	0.0027523	0.018668	-0.018130	-0.0019419	0.0040011	18.668	160.87	1	2.2300	184	0.0121	0.0272
0.0030100	0	500.00	0	2.0277	6.0748	0.0085031	-0.0019760	0.017168	-0.015878	0.0045026	-0.0047283	17.168	112.56	1	7.4100	189	0.0392	0.0370
0.0040100	0	500.00	0	2.0277	6.0680	0.0056116	-0.00063035	0.0075155	-0.0068052	-0.0028915	0.0013457	7.5155	86.109	1	8.3800	182	0.0460	0.0385
0.0050100	0	500.00	0	2.0277	6.0611	0.0049624	-0.0013815	0.0069599	-0.0068887	-0.00064920	-0.00075114	6.9599	70.263	1	5.7800	185	0.0312	0.0324
0.0060100	0	500.00	0	2.0277	6.0560	0.0030627	-0.00059217	0.0055412	-0.0051452	-0.0018997	0.00078932	5.5412	59.406	1	8.9600	184	0.0487	0.0598
0.0070100	0	500.00	0	2.0277	6.0456	0.0030566	0.0013896	0.010528	-0.010340	-6.1053e-06	0.0019818	10.528	52.397	1	12.1100	181	0.0669	0.0773
0.0080100	0	500.00	0	2.0277	6.0426	0.0067059	-0.0023703	0.0060569	-0.0030385	0.0036493	-0.0037599	6.0569	46.233	1	12.3000	184	0.0668	0.0489
0.0090100	0	500.00	0	2.0277	6.0395	0.012909	-0.0048041	0.0073418	-0.0030816	0.0062033	-0.0024339	7.3418	41.456	1	9.7400	183	0.0532	0.0492
0.010010	0	500.00	0	2.0277	6.0314	0.011391	0.0010498	0.010123	-0.0081185	-0.0015184	0.0058539	10.123	38.117	1	7.9200	186	0.0426	0.0323
0.011010	0	500.00	0	2.0277	6.0240	0.0043269	-0.0032973	0.011126	-0.0074159	-0.0070638	-0.0043471	11.126	35.313	1	8.1400	193	0.0422	0.0518
