simTime	densityIndex	surfaceDensity	filamentId	filamentLength	posX	posY	posZ	distMoved	vecMovedX	vecMovedY	vecMovedZ	instantaneousSpeed	longWindowSpeedXY	longWindowSettling	avgBoundMotors	footprintMotors	footprintDutyRatio	headsWithinReachDR
0.0010100	0	500.00	0	2.0277	6.1142	0.0018689	0.0064857	0.29866	-0.29859	0.00087967	0.0064756	298.66	298.59	1	0.0100	172	0.0001	0.0058
0.0020100	0	500.00	0	2.0277	6.0942	-0.0030608	0.0039132	0.020803	-0.020047	-0.0049297	-0.0025725	20.803	159.33	1	2.2800	184	0.0124	0.0326
0.0030100	0	500.00	0	2.0277	6.0776	0.00071985	0.0018112	0.017091	-0.016535	0.0037806	-0.0021020	17.091	111.72	1	8.3700	184	0.0455	0.0543
0.0040100	0	500.00	0	2.0277	6.0685	0.0010903	-0.00022659	0.0093450	-0.0091126	0.00037047	-0.0020378	9.3450	86.071	1	10.3400	186	0.0556	0.0591
0.0050100	0	500.00	0	2.0277	6.0581	0.0026354	-0.0022986	0.010718	-0.010402	0.0015451	-0.0020720	10.718	70.938	1	10.3900	188	0.0553	0.0479
0.0060100	0	500.00	0	2.0277	6.0521	-0.0012095	0.0037607	0.0093774	-0.0060364	-0.0038448	0.0060593	9.3774	60.121	1	9.6900	175	0.0554	0.0686
0.0070100	0	500.00	0	2.0277	6.0457	-0.0026276	0.0043682	0.0065893	-0.0064062	-0.0014182	0.00060753	6.5893	52.449	1	10.4500	181	0.0577	0.0442
0.0080100	0	500.00	0	2.0277	6.0433	-0.0019015	0.0020699	0.0033719	-0.0023580	0.00072612	-0.0022983	3.3719	46.187	1	7.8500	180	0.0436	0.0333
0.0090100	0	500.00	0	2.0277	6.0396	-0.0029622	0.0025000	0.0039208	-0.0037500	-0.0010607	0.00043008	3.9208	41.473	1	9.2200	180	0.0512	0.0556
0.010010	0	500.00	0	2.0277	6.0301	-0.0089280	6.7948e-05	0.011415	-0.0094227	-0.0059658	-0.0024321	11.415	38.279	1	11.0600	181	0.0611	0.0663
0.011010	0	500.00	0	2.0277	6.0306	-0.010703	0.0041233	0.0044518	0.00047155	-0.0017748	0.0040554	4.4518	34.760	1	9.1400	176	0.0519	0.0568
