arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,826,7.223,7.1698,335
cpu,1,702,7.159,7.1353,334
device,2,694,6.518,8.0870,336
cpu,2,969,8.137,8.9471,332
device,3,939,8.040,7.7974,334
cpu,3,633,6.061,7.1686,331
device,4,823,6.992,7.7601,336
cpu,4,699,6.365,6.9431,329
device,5,986,8.832,8.4424,332
cpu,5,1028,8.601,8.0385,328
device,6,644,5.852,7.3150,333
cpu,6,1031,7.786,8.2803,333
device,7,614,5.396,7.5159,334
cpu,7,850,7.213,7.3095,333
device,8,804,6.764,8.2303,333
cpu,8,939,8.292,7.9846,330
