arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,772,6.989,7.6735,336
cpu,1,786,7.047,7.7661,337
device,2,557,5.191,6.8787,336
cpu,2,908,7.587,8.2685,335
device,3,666,5.844,7.1872,336
cpu,3,609,5.963,6.5820,332
device,4,789,7.102,7.8248,336
cpu,4,680,6.405,6.9400,334
device,5,649,6.221,7.3863,336
cpu,5,974,7.822,8.6117,334
device,6,749,6.575,7.1227,334
cpu,6,1055,7.703,8.0093,335
device,7,885,7.559,8.1428,339
cpu,7,907,7.396,8.6410,335
device,8,662,6.151,7.9891,336
cpu,8,868,7.266,8.3203,333
