arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,614,6.084,7.2886,335
freshCPU,1,609,5.637,6.6483,335
laggedCPU,1,957,7.692,8.8028,335
device,2,846,6.949,8.1206,340
freshCPU,2,761,6.879,7.9605,335
laggedCPU,2,1161,8.938,8.8142,335
device,3,831,7.498,7.9993,340
freshCPU,3,798,7.699,7.2772,336
laggedCPU,3,1013,7.829,8.7709,330
device,4,760,7.336,7.8848,335
freshCPU,4,768,6.994,7.8789,335
laggedCPU,4,1145,8.567,9.8796,335
device,5,612,5.721,7.4134,340
freshCPU,5,987,7.757,8.0755,335
laggedCPU,5,1201,9.330,9.1132,335
device,6,864,7.715,7.8882,335
freshCPU,6,1011,8.147,7.6580,335
laggedCPU,6,1340,9.494,9.6269,336
device,7,673,6.417,7.0836,335
freshCPU,7,900,7.616,8.5409,335
laggedCPU,7,1131,8.756,9.2172,335
device,8,781,7.259,8.1202,340
freshCPU,8,1147,8.826,8.6176,335
laggedCPU,8,1039,8.769,10.1609,340
