arm,seed,bindEvents,meanBoundMotors,glidingVelocity,wall_sec
device,1,684,6.540,7.6838,337
cpu,1,1092,9.027,8.5948,331
device,2,724,6.518,8.0518,338
cpu,2,895,7.365,8.5220,334
device,3,764,6.880,7.3233,335
cpu,3,938,8.052,7.7417,331
device,4,720,6.417,7.1907,336
cpu,4,725,6.453,7.3044,335
device,5,871,6.787,8.0988,333
cpu,5,910,6.967,7.9655,334
device,6,825,7.559,7.6547,337
cpu,6,1010,8.221,8.2350,333
device,7,767,6.910,8.0193,334
cpu,7,987,8.029,8.4180,332
device,8,742,7.153,8.4812,335
cpu,8,974,8.071,8.4647,330
