step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
155,13618,42004,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
156,13618,42004,3.4779178235e-12,-4.3784794643e-19,-4.3784794643e-20,0
157,13618,42004,6.7638633409e-12,3.4281637858e-12,3.4281633480e-13,0
158,13618,42004,3.0591278209e-12,1.4588857466e-12,4.8870490946e-13,0
159,13618,42004,7.1919935285e-12,5.9839438092e-12,1.0870992904e-12,0
160,13618,42004,3.3248766153e-12,6.6294810353e-13,1.1533941007e-12,0
161,13618,42004,6.9815173608e-12,4.9298490637e-12,1.6463790071e-12,0
162,13618,42004,3.8613040716e-12,2.3151409175e-12,1.8778930989e-12,0
163,13618,42004,6.6890434164e-12,-2.7699253481e-12,1.6009005640e-12,0
164,13618,42004,7.1046701508e-12,1.3958024190e-12,1.7404808059e-12,0
165,13618,42004,5.5117212877e-12,4.8057044455e-12,2.2210512505e-12,0
166,13618,42004,3.8362624709e-12,-3.0372432000e-12,1.9173269743e-12,0
167,13618,42004,2.3780506644e-12,2.3026968787e-12,1.8047802836e-12,0
168,13618,42004,5.3542274780e-12,-3.7292217925e-13,1.6215994910e-12,0
169,13618,42004,4.4818688691e-12,1.0973389081e-12,1.1329390009e-12,0
170,13618,42004,2.5840143827e-12,-1.7978713136e-12,8.8685705914e-13,0
171,13618,42004,3.1613288376e-12,2.2422870852e-12,6.1810086129e-13,0
172,26761,42003,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
172,13618,42004,4.2810941424e-12,8.0968185715e-13,4.6755495526e-13,0
173,26761,42003,5.2964854724e-12,-1.2182525810e-18,-1.2182525810e-19,0
173,13618,42004,3.4455088522e-12,-2.2292341584e-12,5.2162407423e-13,0
174,13618,42004,2.4337797402e-12,5.9419747497e-14,3.8798580708e-13,0
174,26761,42003,1.1735447683e-11,7.1604996238e-12,7.1604984055e-13,0
175,26761,42003,7.7344432942e-12,-4.2277253746e-12,2.9327730309e-13,0
175,13618,42004,6.9609587192e-12,1.6095697908e-12,6.8372341615e-14,0
176,26761,42003,8.8216612834e-12,8.2196402462e-12,1.1152413277e-12,0
176,13618,42004,2.8529578873e-12,-9.3947148238e-13,2.7814951338e-13,0
177,26761,42003,4.9710851754e-12,-2.1052228971e-12,9.0471903801e-13,0
177,13618,42004,4.6147356769e-12,2.1904583182e-12,2.6692565733e-13,0
178,13618,42004,9.7445022971e-13,-6.4528596225e-13,2.3968927903e-13,0
178,26761,42003,4.8575102274e-12,-4.8168988329e-14,8.9990213917e-13,0
179,26761,42003,4.1326326042e-12,1.3971191825e-12,1.0396140574e-12,0
179,13618,42004,7.4000241698e-12,-3.6674051925e-13,9.3281336296e-14,0
180,13618,42004,5.9595145659e-12,-2.2393074808e-12,4.9137719582e-14,0
180,26761,42003,5.4153491587e-12,3.3119936915e-12,1.3708134266e-12,0
181,26761,42003,3.7839783390e-12,2.2552931744e-12,1.5963427440e-12,0
181,13618,42004,5.4959999225e-12,4.4022992716e-12,2.6513893823e-13,0
182,13618,42004,2.2455902155e-12,9.7567093293e-13,2.8173784581e-13,0
182,26761,42003,2.5620809727e-12,-2.3560962209e-12,1.3607331219e-12,0
183,26761,42003,4.0349056561e-12,2.7837211702e-12,1.6391053608e-12,0
183,13618,42004,6.0936876205e-12,2.9640435072e-12,8.0106561236e-13,0
184,13618,42004,2.4737052684e-12,-1.6781425425e-12,6.2730938337e-13,0
184,26761,42003,6.4255757833e-12,-1.7172081899e-12,7.5133457940e-13,0
185,26761,42003,4.5394443413e-12,1.9059939445e-13,1.1931670563e-12,0
185,13618,42004,5.7061885599e-12,-1.4323980370e-12,3.2311260059e-13,0
186,13618,42004,6.4116936586e-12,-6.2967500138e-12,-2.1261525255e-13,0
186,26761,42003,4.5996578941e-12,-2.4073999088e-13,3.4712903260e-13,0
187,26761,42003,4.5073857841e-12,-1.7667108011e-12,3.8098024220e-13,0
187,13618,42004,5.8482255497e-12,3.5884255636e-12,-7.2818528009e-14,0
188,13618,42004,2.2524076788e-12,3.8533981778e-13,3.0244049994e-14,0
188,26761,42003,6.3355809314e-12,5.1241311541e-12,8.9821025644e-13,0
189,26761,42003,4.6941413430e-12,-1.4930617506e-12,6.0919216313e-13,0
189,13618,42004,2.1127045426e-12,-1.7581637101e-12,-1.0889826909e-13,0
190,26761,42003,5.1440240956e-12,3.7817683013e-12,6.5616962412e-13,0
190,13618,42004,8.2714616406e-12,5.1791622206e-12,6.3294870105e-13,0
191,13618,42004,4.4469094206e-12,-2.8010582135e-12,-8.7387047468e-14,0
191,26761,42003,5.3512003856e-12,2.8006334231e-12,7.1070364898e-13,0
192,26761,42003,1.4037492956e-12,-2.1108543854e-14,9.4420241669e-13,0
192,13618,42004,7.2995932215e-12,4.7988661656e-12,2.9493247579e-13,0
193,8776,42002,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
193,13618,42004,6.3469056399e-12,-5.0127133347e-12,-5.0274320839e-13,0
193,26761,42003,2.6782434777e-12,-1.6146377855e-12,5.0436652112e-13,0
