step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
113,1672,42005,1.2245965928e-12,-9.6991032405e-17,-9.6991032405e-18,0
114,1672,42005,5.5674339940e-12,-2.5580695034e-12,-2.5581664944e-13,0
115,1672,42005,4.5815703298e-12,3.2297694977e-12,6.7160300328e-14,0
116,1672,42005,1.5115837754e-12,-1.1244776781e-12,-4.5287467477e-14,0
117,1672,42005,5.4169867866e-12,-3.6874928613e-12,-4.1403675361e-13,0
118,1672,42005,6.3029133735e-12,-6.1165611766e-12,-1.0256928713e-12,0
119,1672,42005,8.9672974722e-12,4.9086028159e-12,-5.3483258968e-13,0
120,1672,42005,7.1612035322e-12,-6.0820796555e-12,-1.1430405552e-12,0
121,1672,42005,6.4729009034e-12,3.9711617239e-12,-7.4592438284e-13,0
122,1672,42005,7.6814690118e-12,2.5579782998e-13,-7.2034459984e-13,0
123,1672,42005,3.9936271894e-12,1.7903157768e-12,-5.4130332306e-13,0
124,1672,42005,3.3057630240e-12,-2.4403377047e-12,-5.2953014319e-13,0
125,1672,42005,9.8744206209e-12,5.5047328780e-12,-3.0203380516e-13,0
126,1672,42005,5.6825448691e-12,-4.8834462232e-12,-6.7793065968e-13,0
127,1672,42005,4.3394852749e-12,-2.8982930922e-12,-5.9901068277e-13,0
128,1672,42005,7.1130373316e-12,-6.9230356239e-12,-6.7965812750e-13,0
129,1672,42005,6.4212001942e-12,-7.7860491370e-13,-1.2483789005e-12,0
130,1672,42005,4.6555826380e-12,-1.0905491214e-13,-6.5107642612e-13,0
131,1672,42005,2.0222873079e-12,7.8324371906e-13,-9.6986822660e-13,0
132,1672,42005,3.0735257151e-12,-8.9383062164e-13,-1.0848310718e-12,0
133,1672,42005,1.2051342566e-12,3.7075629075e-13,-1.2267870204e-12,0
134,1672,42005,3.3675525285e-12,1.2646335175e-12,-8.5628989815e-13,0
135,1672,42005,1.0689501694e-12,9.7750776998e-13,-1.3090124089e-12,0
136,1672,42005,3.0439923642e-12,-2.7504162911e-12,-1.0957094157e-12,0
137,1672,42005,1.5367544709e-12,-5.3542341775e-13,-8.5942244829e-13,0
138,1672,42005,9.7311788902e-13,2.3828424087e-13,-1.4329046181e-13,0
139,1672,42005,2.2769192261e-12,7.7217870738e-13,1.1787900294e-14,1
141,1672,42005,3.2972652014e-13,-1.2496408970e-17,-1.2496408970e-18,0
142,1672,42005,4.3780341196e-12,1.1339081876e-12,1.1338956912e-13,0
143,1672,42005,4.4449648013e-12,-3.6063366779e-12,-2.4724409867e-13,0
144,1672,42005,7.7239790488e-12,7.0009560459e-12,4.5285150592e-13,0
145,1672,42005,4.5032869634e-12,-1.8358346216e-12,2.6926804376e-13,0
146,1672,42005,5.2706194565e-12,5.2423046426e-12,7.9349850802e-13,0
147,1672,42005,1.7062891647e-12,-9.3362876683e-14,7.8416222035e-13,0
148,1672,42005,2.4371360067e-12,1.4568559869e-12,9.2984781903e-13,0
149,1672,42005,4.9201146624e-12,-2.4622158477e-12,6.8362623427e-13,0
150,1672,42005,4.9387945681e-12,4.8030834221e-12,1.1639345765e-12,0
151,1672,42005,5.3654354979e-12,-3.6178351070e-12,8.0215231542e-13,0
152,1672,42005,3.0009312536e-12,2.4761837156e-12,9.3637986821e-13,0
153,1672,42005,3.6016824305e-12,3.2375665271e-12,1.6207701887e-12,0
154,1672,42005,1.8376165862e-12,1.0733618636e-13,9.3140820276e-13,0
155,1672,42005,2.4787673562e-12,-1.2832452791e-12,9.8666713701e-13,0
156,1672,42005,5.3257694350e-12,-2.0807180160e-12,2.5436487115e-13,0
157,1672,42005,3.6232589225e-12,-2.7778604183e-12,-1.4084883006e-14,0
158,1672,42005,5.4310229825e-12,3.2557961024e-12,1.6580912855e-13,0
159,36988,42005,4.5117886771e-12,-7.6448666517e-17,-7.6448666517e-18,0
159,1672,42005,8.1176335107e-12,-4.9957726905e-12,-8.7546555736e-14,0
160,1672,42005,4.7977657257e-12,-2.3732251037e-13,-5.9158714899e-13,0
160,36988,42005,5.5468955754e-12,1.4017143577e-12,1.4016379090e-13,0
161,36988,42005,5.0697323930e-12,3.3020518971e-12,4.7036898061e-13,0
161,1672,42005,2.8635083386e-12,-2.0811845556e-12,-4.3792209384e-13,0
162,36988,42005,4.0068334780e-12,-2.3892188693e-12,2.3144709368e-13,0
162,1672,42005,3.7150880051e-12,-7.1449042596e-14,-6.9268536966e-13,0
163,36988,42005,4.3821061653e-12,3.3332067125e-12,5.6476776492e-13,0
163,1672,42005,7.4127022068e-12,-6.3904899935e-12,-1.6554910217e-12,0
164,36988,42005,3.2714917394e-12,-1.6436539199e-12,4.0040237294e-13,0
164,1672,42005,6.2069713676e-12,-2.9944611506e-12,-1.9656707554e-12,0
165,36988,42005,4.3160053803e-12,8.4969432072e-13,4.8537180501e-13,0
165,1672,42005,4.9683267063e-12,1.8915510841e-12,-1.6481911191e-12,0
166,1672,42005,6.8275312047e-12,-5.1304735411e-12,-1.9531666716e-12,0
166,36988,42005,6.7833882903e-12,-3.3023205590e-13,4.5234859942e-13,0
167,36988,42005,8.4246985321e-12,7.3814896828e-12,1.1904975677e-12,0
167,1672,42005,6.5907889665e-12,5.3590231175e-12,-1.1394783180e-12,0
168,36988,42005,6.3739251812e-12,-5.2255079247e-12,6.6794677523e-13,0
168,1672,42005,6.0684101964e-12,-5.3556418355e-12,-2.0006221118e-12,0
169,36988,42005,4.2192064643e-12,-3.1708777220e-12,3.5086664789e-13,0
169,1672,42005,8.0291064229e-12,-9.5395642083e-13,-1.5964404848e-12,0
170,36988,42005,3.5709081619e-12,2.7745635481e-12,4.8815156693e-13,0
170,1672,42005,5.8638502474e-12,6.9709505315e-13,-1.5029987285e-12,0
171,36988,42005,4.1949721099e-12,-2.8995811028e-12,-1.3201173306e-13,0
171,1672,42005,5.0659272086e-12,-3.2370976049e-12,-1.6185900334e-12,0
172,36988,42005,1.5042882353e-12,-1.2137574021e-12,-1.4465586336e-14,0
172,1672,42005,4.0855003951e-12,8.3954069965e-13,-1.5274910592e-12,0
173,36988,42005,5.6451795597e-12,-5.1816799650e-12,-8.6595425409e-13,0
173,1672,42005,5.9046049805e-12,-5.1395119999e-12,-1.4023932598e-12,0
174,36988,42005,2.9345352091e-12,-2.9121953880e-12,-9.9280840090e-13,0
174,1672,42005,5.3680628919e-12,-4.4515413387e-12,-1.5481012787e-12,0
175,36988,42005,4.5766954849e-12,-2.7251780300e-12,-1.3502956360e-12,0
175,1672,42005,2.4410583095e-12,1.8107087883e-13,-1.7191492992e-12,0
176,36988,42005,1.6594983514e-12,-1.0987434040e-12,-1.4271467708e-12,0
176,1672,42005,7.4521387625e-12,-7.1067852505e-12,-1.9167804701e-12,0
177,1672,42005,2.1678556321e-12,-2.6391871988e-13,-2.4790746539e-12,0
177,36988,42005,5.7230376684e-12,-2.6967077005e-12,-2.4349665091e-12,0
178,1672,42005,4.6290529038e-12,-1.4443685588e-12,-2.0879473262e-12,0
178,36988,42005,1.0637827427e-11,-3.5912092660e-12,-2.2715366432e-12,0
179,36988,42005,7.0257277137e-12,-3.6444684000e-12,-2.3188957110e-12,0
179,1672,42005,5.8214377135e-12,-1.3648464450e-12,-2.1290363286e-12,0
180,36988,42005,5.4431801564e-12,3.8597256896e-12,-2.2103794969e-12,0
180,1672,42005,3.1701121265e-12,-9.8349520719e-13,-2.2970953546e-12,0
181,36988,42005,7.4697295972e-12,-1.6332252439e-12,-2.0837439110e-12,0
181,1672,42005,1.4861420102e-12,4.1886240627e-13,-1.9314993535e-12,0
182,36988,42005,5.1987607517e-12,5.9286986898e-13,-1.9030811839e-12,0
182,1672,42005,5.3606790001e-12,-1.3812016109e-12,-2.1535735846e-12,0
183,36988,42005,6.1392854869e-12,5.8416370603e-12,-8.0074948135e-13,0
183,1672,42005,5.1321134202e-12,1.2594053909e-12,-1.5136818455e-12,0
184,36988,42005,8.6707677033e-12,-6.7936670456e-12,-1.1888966471e-12,0
184,1672,42005,9.0643113010e-12,-8.9066026731e-12,-1.9591879789e-12,0
185,36988,42005,4.8294979819e-12,4.7997112992e-12,-4.3640771420e-13,0
185,1672,42005,3.5834302009e-12,2.2158338910e-12,-1.7557116777e-12,0
186,36988,42005,8.8708223352e-12,-1.7942908450e-12,-5.0596245829e-13,0
186,1672,42005,6.4329554811e-12,-1.6190409316e-14,-1.0466521936e-12,0
187,36988,42005,8.0224661902e-12,3.2305662395e-12,8.6764935707e-14,0
187,1672,42005,4.6500946206e-12,-4.0227026199e-12,-1.4225305836e-12,0
188,1672,42005,3.4710937493e-12,-2.9537546613e-12,-1.5734691938e-12,0
188,36988,42005,5.9668668575e-12,-5.8656893103e-12,-1.4068306873e-13,0
189,36988,42005,4.9889215105e-12,2.0399712873e-12,4.2776090000e-13,0
189,1672,42005,5.7485082043e-12,2.3894825251e-12,-1.1980362968e-12,0
190,36988,42005,5.2667171418e-12,-4.2079993942e-12,-3.7901160838e-13,0
190,1672,42005,3.4900264286e-12,-1.7128206484e-12,-1.2709688410e-12,0
191,36988,42005,6.3192572975e-12,3.5272770937e-13,-1.8041631305e-13,0
191,1672,42005,4.6286356431e-12,-1.3663568935e-12,-1.4494907709e-12,0
192,36988,42005,3.8254103191e-12,-3.0351211959e-12,-5.4321541954e-13,0
192,1672,42005,8.3080090821e-12,7.5551278314e-12,-5.5585782672e-13,0
193,36988,42005,4.0573084738e-12,6.4205595499e-13,-1.0631735301e-12,0
193,1672,42005,2.4060898650e-12,2.1736444713e-12,-4.6443391869e-13,0
194,36988,42005,9.7602613788e-13,2.0736432897e-13,-3.6307039261e-13,0
194,1672,42005,6.7344173828e-12,-6.0213649336e-12,-1.7591014474e-13,0
195,36988,42005,4.3051294714e-12,3.2598341411e-12,-5.1705810842e-13,0
195,1672,42005,7.4009169983e-12,6.4563302919e-12,2.4813949535e-13,0
196,36988,42005,7.8158326407e-12,-4.1412873113e-12,-7.5175775504e-13,0
196,1672,42005,5.0224170017e-12,-4.5783528382e-12,-2.0807674753e-13,0
197,1672,42005,6.9552820778e-12,2.9355009463e-12,4.8774360909e-13,0
197,36988,42005,5.8900232004e-12,5.7941295203e-12,-4.9540142696e-13,0
198,36988,42005,6.0885782563e-12,-2.3665151117e-12,-1.4548400710e-13,0
198,1672,42005,3.6272075742e-12,-2.1216617762e-12,5.7095289760e-13,0
199,36988,42005,4.1961784827e-12,2.9194268376e-12,-5.7538452072e-14,0
199,1672,42005,4.5125041253e-12,4.1022848217e-12,7.4223312726e-13,0
200,36988,42005,7.1025246818e-12,-4.4589473177e-12,-8.2633244426e-14,0
200,1672,42005,6.1849895156e-12,-4.5785086499e-12,4.5566432711e-13,1
201,36988,42005,3.5179065404e-12,1.5341323995e-12,3.5507224592e-14,0
202,36988,42005,1.0482671923e-11,-9.9842049471e-12,-6.5940115053e-13,0
203,36988,42005,7.4947063825e-12,6.6241597378e-12,-6.1190772245e-14,0
204,36988,42005,7.5829878752e-12,-1.7354978286e-14,-8.3662702971e-14,0
205,36988,42005,4.9600968702e-12,3.9493177820e-12,-1.4714338885e-14,0
206,36988,42005,4.5136997733e-12,2.9702246451e-12,6.9643685675e-13,0
207,36988,42005,1.5400150948e-12,-4.2737110462e-13,7.4286794253e-14,0
208,36988,42005,3.0311631402e-12,-2.3299377709e-12,7.7944528330e-14,1
208,2845,42006,5.2791615649e-12,6.5673217664e-17,6.5673217664e-18,0
209,2845,42006,1.4113348159e-11,1.2495577519e-11,1.2495643192e-12,1
210,2845,42006,4.0931322839e-12,-4.9241887259e-17,-4.9241887259e-18,0
211,2845,42006,4.8919946638e-12,3.0863512501e-12,3.0863020082e-13,0
212,2845,42006,7.1918112967e-12,-4.3915995521e-12,-1.3052975440e-13,0
213,2845,42006,3.2393065363e-12,2.8844745040e-12,1.5791769601e-13,0
214,2845,42006,3.2065642567e-12,-1.8118269626e-12,-2.3265000258e-14,0
215,2845,42006,4.6539732449e-12,3.4778891896e-12,3.2452391870e-13,0
216,2845,42006,6.4020921316e-12,-9.2680268942e-14,3.1525589180e-13,0
217,2845,42006,8.0862317022e-12,6.6384542585e-12,9.7910131766e-13,0
218,2845,42006,4.7463311645e-12,3.2371642334e-12,1.3028177410e-12,0
219,2845,42006,6.3358225286e-12,5.5872713919e-12,1.8615448802e-12,0
220,2845,42006,1.4265669137e-12,-1.2427263456e-12,1.7372771698e-12,0
221,2845,42006,1.1799148269e-11,8.4741886114e-12,2.2760609059e-12,0
222,36988,42005,5.2167897604e-12,1.9679801026e-16,1.9679801026e-17,0
222,2845,42006,1.0933309830e-11,-5.3158361217e-12,2.1836372490e-12,0
223,2845,42006,9.9168943868e-12,8.5230103968e-12,2.7474908383e-12,0
223,36988,42005,6.6430084332e-12,-5.2631256880e-14,-5.2434458870e-15,0
224,2845,42006,6.1718855178e-12,-4.5252861262e-12,2.4761449219e-12,0
224,36988,42005,3.9397387204e-12,8.3223960521e-13,7.7980514634e-14,0
225,36988,42005,4.1652162911e-12,3.7749605457e-12,4.5547656921e-13,0
225,2845,42006,6.2625856189e-12,3.7729643844e-12,2.5056524414e-12,0
226,1672,42005,5.2688380524e-12,9.8325617575e-17,9.8325617575e-18,0
226,2845,42006,3.2935794385e-12,6.3406285552e-13,2.5783267538e-12,0
226,36988,42005,7.9501183192e-12,3.2923158171e-12,7.8470815091e-13,0
227,36988,42005,6.8076024778e-12,4.8904661547e-12,1.2737547664e-12,0
227,2845,42006,7.0800561889e-12,5.8404995502e-12,2.4985312830e-12,0
227,1672,42005,8.0458643891e-12,-2.7361112141e-12,-2.7360128884e-13,0
228,1672,42005,5.4539245113e-12,-4.0622192676e-12,-6.7982321560e-13,0
228,2845,42006,1.8340641814e-12,5.4792790735e-13,2.2296076504e-12,0
228,36988,42005,5.6233195032e-12,-2.8662298891e-12,9.8713177747e-13,1
229,2845,42006,2.7056442799e-12,2.4675705415e-12,1.9176375654e-12,0
229,1672,42005,6.2240647359e-12,3.1846161687e-13,-6.4797705392e-13,0
230,1672,42005,9.2318169433e-12,-2.6787820586e-12,-9.1585525977e-13,0
230,2845,42006,1.2949431026e-12,2.5416621304e-13,2.0673268212e-12,0
231,2845,42006,4.0065160132e-12,2.2903079895e-12,1.4489387590e-12,0
231,1672,42005,4.3112740086e-12,2.6129920209e-12,-6.5455605769e-13,0
