step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
85,8983,42002,4.3804252760e-12,4.2802167147e-18,4.2802167147e-19,0
86,8983,42002,4.0700008468e-12,2.0677186092e-12,2.0677228894e-13,0
87,8983,42002,4.7874256642e-12,3.7019302554e-12,5.7696531448e-13,0
88,8983,42002,2.7217800496e-12,-1.5686482061e-12,4.2010049387e-13,0
89,8983,42002,5.0783899655e-12,4.2549869878e-12,8.4559919264e-13,0
90,8983,42002,3.8810920623e-12,-1.7279806058e-12,6.7280113206e-13,0
91,8983,42002,3.9723502265e-12,1.5943001043e-12,8.3223114249e-13,0
92,8983,42002,4.7580919239e-12,4.2297250771e-12,1.2552036502e-12,0
93,8983,42002,4.9609383442e-12,5.0863967985e-13,1.3060676182e-12,0
94,8983,42002,4.6081259468e-12,-4.3049812846e-12,8.7556948972e-13,1
96,8983,42002,2.2089049340e-12,-1.4673426369e-17,-1.4673426369e-18,0
97,8983,42002,7.4247812759e-12,-2.7806669727e-12,-2.7806816461e-13,0
98,8983,42002,3.5713298638e-12,3.2133397505e-12,4.3265810439e-14,0
99,8983,42002,2.7555312632e-12,2.0255849949e-12,2.4582430993e-13,0
100,8983,42002,1.1115021663e-12,7.3393434342e-13,3.1921774427e-13,0
101,8983,42002,4.4287455647e-12,-2.4237144410e-12,7.6846300173e-14,0
102,8983,42002,3.2190977314e-12,-1.0590458632e-12,-2.9058286143e-14,0
103,8983,42002,4.8132704419e-12,2.6024393144e-12,2.3118564530e-13,0
104,8983,42002,1.9021620216e-12,-4.3327773552e-13,1.8785787174e-13,0
105,8983,42002,4.2076260011e-12,-2.1771319556e-12,-2.9855323817e-14,0
106,8983,42002,9.2167584329e-12,7.9017591081e-12,7.6032205434e-13,0
107,8983,42002,6.0086163475e-12,-3.0998532734e-13,1.0073902189e-12,0
108,8983,42002,3.0413026698e-12,-6.0502422300e-13,6.2555382152e-13,0
109,8983,42002,4.7877986298e-12,2.0494360603e-13,4.4348968264e-13,0
110,8983,42002,5.1434499021e-12,-4.5819680515e-12,-8.8100556852e-14,1
114,8983,42002,3.7729467987e-12,-2.5703438123e-19,-2.5703438123e-20,0
115,8983,42002,6.4483093344e-12,2.3173615804e-12,2.3173613234e-13,0
116,8983,42002,3.9759437062e-12,-3.9555112658e-12,-1.6381499424e-13,0
117,8983,42002,1.8625025567e-12,1.6959540326e-12,5.7804090212e-15,0
118,8983,42002,5.0480804432e-12,2.1066562123e-12,2.1644603025e-13,0
119,8983,42002,5.5415273065e-12,3.5186006127e-13,2.5163203638e-13,0
120,8983,42002,6.0229516687e-12,5.7883732529e-12,8.3046936167e-13,0
120,41689,42001,3.5597948200e-12,-4.5771365043e-18,-4.5771365043e-19,0
121,8983,42002,2.6331684229e-12,-2.0323734015e-12,6.2723202152e-13,0
121,41689,42001,6.9404052817e-12,2.4385853580e-12,2.4385807808e-13,0
122,8983,42002,3.0395961356e-12,2.7262005587e-12,8.9985207739e-13,0
122,41689,42001,4.8041002600e-12,-1.2783924310e-12,1.1601883498e-13,0
123,8983,42002,7.2182407621e-12,-7.0002476038e-12,1.9982731701e-13,0
123,41689,42001,6.4566334050e-12,2.3041076425e-12,3.4642959924e-13,0
124,8983,42002,5.7437049908e-12,4.2362823319e-12,6.2345557590e-13,0
124,41689,42001,3.3790572337e-12,2.1490699845e-12,5.6133659768e-13,0
125,8983,42002,4.4428523360e-12,3.3338154286e-12,7.2510096072e-13,0
125,41689,42001,3.5988063658e-12,-2.4341503205e-12,3.1792156563e-13,0
126,8983,42002,4.1248935691e-12,-7.1037799124e-13,1.0496142882e-12,0
126,41689,42001,3.3842987007e-12,2.6322557415e-12,5.8114713978e-13,0
127,8983,42002,2.9649544538e-12,2.1245149737e-12,1.0924703823e-12,0
127,41689,42001,5.9558751160e-12,-4.9024971365e-13,5.3212216841e-13,0
