step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
100,9967,42003,4.6181968532e-12,-3.2931576284e-17,-3.2931576284e-18,0
101,9967,42003,4.7038309176e-12,1.7647597894e-12,1.7647268578e-13,0
102,9967,42003,3.0654016237e-12,1.9651554952e-12,3.7298823531e-13,0
103,6394,42001,5.7085836355e-12,-3.4375809961e-16,-3.4375809961e-17,0
103,9967,42003,2.5558556709e-12,1.8912182533e-12,5.6211006064e-13,0
104,6394,42001,1.7744417222e-12,-1.4756781129e-12,-1.4760218710e-13,0
104,9967,42003,1.6048558074e-12,-7.1111263550e-13,4.9099879709e-13,0
105,9967,42003,6.0969228034e-12,-5.1806741798e-12,-2.7068620884e-14,0
105,6394,42001,2.5258008489e-12,4.8568596263e-13,-9.9033590835e-14,0
106,6394,42001,6.2272638864e-12,6.1826182189e-12,5.1922823106e-13,0
106,9967,42003,5.7869821146e-12,4.4387129669e-12,4.1680267581e-13,0
107,6394,42001,6.9823120051e-12,1.2849780999e-12,6.4772604105e-13,0
107,9967,42003,4.7440070942e-12,-4.4875579349e-12,-3.1953117676e-14,0
108,6394,42001,6.3254017291e-12,-4.2787542966e-12,2.1985061139e-13,0
108,9967,42003,7.7834613172e-12,2.6214730084e-12,2.3019418317e-13,0
109,6394,42001,4.3785686152e-12,-8.6978079312e-13,1.3287253208e-13,0
109,9967,42003,4.2860585947e-12,-1.2674527775e-12,1.0344890542e-13,0
110,9967,42003,2.8109911073e-12,3.0668524133e-14,1.0651905099e-13,0
110,6280,42002,5.8886927945e-12,2.3308126839e-17,2.3308126839e-18,0
110,6394,42001,5.4068261596e-12,5.1827398098e-12,6.5114651305e-13,0
111,6280,42002,7.3373487286e-12,5.6790552531e-12,5.6790785613e-13,0
111,6394,42001,5.5770821455e-12,-2.1471023410e-12,4.3643627895e-13,0
111,9967,42003,8.1525729209e-12,7.3944188067e-13,3.9872601129e-15,0
112,6280,42002,7.0709406464e-12,4.9247173126e-12,1.0603795874e-12,0
112,6394,42001,6.2794624330e-12,2.6937753349e-12,7.0581381243e-13,0
112,9967,42003,3.8963485798e-12,-2.4861318454e-12,-4.4114147396e-13,0
113,6280,42002,4.4365138266e-12,-5.0482770813e-13,1.0098968166e-12,0
113,9967,42003,1.8260157040e-12,8.1434690024e-13,-5.4882860927e-13,0
113,6394,42001,2.0344224550e-12,-9.1550155520e-13,6.1429803272e-13,0
114,6280,42002,2.6545459652e-12,-1.5874214689e-13,9.9402260189e-13,0
114,6394,42001,5.5330560874e-12,-1.8825520223e-12,5.7361064178e-13,0
114,9967,42003,5.3554794878e-12,-1.4989017265e-12,-6.2760751837e-13,0
115,6280,42002,6.6728568474e-12,2.4681672276e-12,1.2408393246e-12,0
115,6394,42001,3.1643213026e-12,-1.0010384044e-12,4.2493820509e-13,0
115,9967,42003,7.0407230890e-12,-1.3866883952e-12,-2.4820893992e-13,0
116,9967,42003,4.0509249675e-12,-3.7531406990e-12,-1.0673943065e-12,0
116,6280,42002,4.9585769202e-12,3.5627914278e-12,1.5971184674e-12,0
116,6394,42001,5.3534182065e-12,-1.4179596874e-12,-3.3511958554e-13,0
117,6280,42002,2.9206510025e-12,3.9361055270e-13,1.6364795227e-12,0
117,6394,42001,4.9784984434e-12,3.0731716073e-12,-1.5630023480e-13,0
117,9967,42003,4.6391373465e-12,4.1463974354e-13,-5.7717453867e-13,0
118,6280,42002,7.7834413245e-12,6.7852706854e-12,2.3150065912e-12,0
118,9967,42003,6.0298240723e-12,4.3326084670e-12,-4.0606099282e-13,0
118,6394,42001,5.6743559231e-12,4.0484143296e-13,3.1205933815e-13,0
119,9967,42003,6.0046192407e-12,-3.5186136295e-12,-6.3117707802e-13,0
119,6280,42002,9.1157663661e-12,-8.1531005216e-12,1.4996965391e-12,1
119,6394,42001,2.9038874179e-12,1.1940503405e-12,5.1844245152e-13,0
120,6280,42002,7.6929847739e-13,2.9574619123e-16,2.9574619123e-17,0
120,6394,42001,7.8005506169e-12,-2.4737134122e-12,-2.4720287068e-13,0
120,9967,42003,4.3688928040e-12,2.1231206102e-12,-4.2193186941e-13,0
121,6280,42002,9.4229828401e-12,-2.4341052225e-12,-2.4338094763e-13,0
121,6394,42001,5.8632027865e-12,5.0840263280e-12,4.7590999622e-13,0
121,9967,42003,5.3893557051e-12,2.6436909116e-12,-2.3150696631e-13,0
122,9967,42003,4.4483230383e-12,1.7091939702e-12,1.8802561526e-13,0
122,6280,42002,8.1687125079e-12,6.9805451070e-12,4.5467356307e-13,0
122,6394,42001,9.3739455468e-13,3.4537961407e-13,2.4107042414e-13,0
123,6280,42002,3.4668545977e-12,-2.2052597491e-12,2.3414758816e-13,0
123,6394,42001,4.6468029922e-12,-4.9137135328e-13,2.8348344433e-13,0
123,9967,42003,4.6605603040e-12,1.3630537662e-12,2.4289630185e-13,0
124,6280,42002,3.6576463978e-12,-2.2362762610e-13,2.1178482556e-13,0
124,6394,42001,1.5215790285e-12,8.6463515107e-14,4.8038499807e-13,0
124,9967,42003,6.8593442988e-12,-3.3607919172e-12,5.6707282790e-14,0
125,6280,42002,1.6769523035e-12,8.8685398641e-13,3.0047022420e-13,0
125,9967,42003,6.8214879678e-12,5.9022178759e-12,7.8559790991e-13,0
125,6394,42001,2.0997081615e-12,-8.6857680610e-13,4.9363115790e-13,0
126,6280,42002,2.3408849389e-12,1.3827263264e-12,4.3874285683e-13,0
126,6394,42001,5.0896375250e-12,-1.7457547837e-12,4.6085164826e-13,0
126,9967,42003,4.6920005250e-12,4.2821895989e-12,1.5891309397e-12,0
127,9967,42003,3.9766889227e-12,-3.0686696953e-12,1.2407999958e-12,0
127,6280,42002,3.8583739987e-12,2.5301707715e-12,6.9175993398e-13,0
127,6394,42001,5.6421509950e-12,-3.1779457754e-13,1.2175502978e-13,0
128,6280,42002,4.4685717382e-12,-1.4163718387e-12,5.5012275011e-13,0
128,6394,42001,7.0639030321e-12,-6.9360911007e-12,-6.1233822359e-13,0
128,9967,42003,4.6245743554e-12,3.0712963738e-12,1.1146687865e-12,0
129,6280,42002,8.9338689157e-13,3.9172193559e-13,5.8929494367e-13,0
129,6394,42001,3.5878729085e-12,-1.2165806772e-12,-8.5340132536e-13,0
129,9967,42003,5.0517708433e-12,-5.0391016785e-12,9.6261998160e-13,0
129,4450,42002,5.4361962690e-12,1.5731668772e-17,1.5731668772e-18,0
130,4450,42002,4.3881919152e-12,-1.7538274774e-12,-1.7538117458e-13,0
130,6280,42002,6.7166195514e-12,-2.0267643419e-12,3.8658893486e-13,0
130,6394,42001,3.7368721894e-12,-2.6826453537e-12,-8.7429451950e-13,0
130,9967,42003,1.0521805526e-11,7.9087159436e-12,1.5411795149e-12,0
131,9967,42003,3.6919993212e-12,5.2522812490e-13,1.3293332363e-12,0
131,6280,42002,6.3758722931e-12,6.1601852982e-12,1.2460179869e-12,0
131,6394,42001,6.1379388133e-12,-5.6170184289e-12,-1.9443989952e-12,0
131,4450,42002,6.4692064424e-12,6.4381468689e-12,4.6843351232e-13,0
132,4450,42002,2.6151835294e-12,-2.5749625055e-12,2.1093726177e-13,0
132,6280,42002,5.0312081756e-12,-4.7936131616e-12,6.8602160060e-14,0
132,6394,42001,3.2446355566e-12,1.4130756037e-12,-1.8376293962e-12,0
132,9967,42003,5.7324235552e-12,4.9469708941e-12,1.6531109287e-12,0
133,6280,42002,7.0265956981e-12,4.2528470426e-13,3.3165660540e-13,0
133,6394,42001,3.2578991390e-12,-2.4835958847e-12,-2.0368518494e-12,0
133,4450,42002,7.1278774604e-12,-1.3322387833e-12,7.7713383439e-14,0
133,9967,42003,2.0920325859e-12,2.5628467888e-13,1.5424340199e-12,0
134,6280,42002,6.8649005533e-12,-4.6855184027e-12,-1.1453247226e-13,0
134,6394,42001,4.5193229515e-12,-3.2971328286e-12,-2.3752114837e-12,0
134,4450,42002,1.0078307504e-11,2.8751216660e-12,3.6522555004e-13,0
134,9967,42003,5.4470150181e-12,2.2413557908e-12,2.1026487907e-12,0
135,6280,42002,8.0268620121e-12,-4.2851982002e-12,-6.3173769092e-13,0
135,6394,42001,7.2259040232e-12,-4.3135836584e-12,-2.7197121690e-12,0
135,4450,42002,5.1917580605e-12,-7.0140359555e-13,2.9508519048e-13,0
135,9967,42003,8.1699914399e-12,7.7071221215e-12,2.2831392153e-12,0
136,6280,42002,3.8103143660e-12,2.8339116817e-12,-4.8661915538e-13,0
136,4450,42002,1.1955382051e-11,5.5948886446e-12,8.5457405494e-13,0
136,6394,42001,4.2128788804e-12,-2.4195426562e-12,-2.7870909562e-12,0
136,9967,42003,8.5519451352e-12,3.7731651128e-12,2.2322367667e-12,0
137,9967,42003,4.6324941044e-12,1.0768411369e-12,2.6467878499e-12,0
137,4450,42002,7.4466531182e-12,-2.9348647247e-12,5.6108758247e-13,0
137,6280,42002,6.4158035994e-12,-1.6514224373e-13,-7.5615045691e-13,0
137,6394,42001,4.7327901014e-12,-3.6141764126e-12,-3.1167291397e-12,0
138,6280,42002,1.9784180222e-12,-1.7913158538e-12,-7.9364485841e-13,0
138,6394,42001,4.2768394963e-12,-2.7562993630e-12,-2.6987499660e-12,0
138,4450,42002,5.0186251546e-12,-1.1684608549e-12,4.4424149699e-13,0
138,9967,42003,2.6902500989e-12,6.6317193380e-13,2.4059754059e-12,0
139,4450,42002,4.4162448285e-12,-4.4667348370e-13,3.9957257545e-13,0
139,6280,42002,2.4803413387e-12,3.2054332785e-13,-8.0076271919e-13,0
139,6394,42001,2.1126396670e-12,-1.8167120799e-12,-2.7587631062e-12,0
139,9967,42003,3.9801152042e-12,3.3021563993e-12,3.2401012137e-12,0
140,6280,42002,6.9367174310e-12,-1.3620557319e-12,-7.3429185819e-13,0
140,9967,42003,3.6613262284e-12,3.6293492420e-12,2.8121645435e-12,0
140,4450,42002,4.7560048401e-12,2.6743201900e-13,6.0169852509e-13,0
140,6394,42001,5.1930877028e-12,-5.0292960254e-12,-2.9934281734e-12,0
141,9967,42003,9.0441734778e-12,-4.2717291590e-12,2.3324688151e-12,0
141,4450,42002,4.2185297381e-12,-1.1536179772e-12,-1.5747795952e-13,0
141,6280,42002,6.5509539901e-12,-1.7859288623e-12,-1.5289032742e-12,0
141,6394,42001,5.3894770139e-12,-1.7667827013e-12,-2.6084046006e-12,0
142,4450,42002,5.7067711019e-12,-9.9648192479e-13,3.7009854547e-16,0
142,6280,42002,6.4519352345e-12,-9.4522251126e-13,-1.1440642092e-12,0
142,6394,42001,6.7339420508e-12,-5.4615886868e-12,-3.2958710297e-12,0
142,9967,42003,4.0855178056e-12,2.0274466426e-12,2.0405163900e-12,0
143,4450,42002,1.7327208197e-12,8.1109563350e-13,2.1470354022e-13,0
143,9967,42003,5.1439001786e-12,1.9554263825e-12,2.2104305603e-12,0
143,6280,42002,7.7072466064e-12,2.3780059102e-12,-9.4879208860e-13,0
143,6394,42001,6.8691172688e-12,-4.5718662063e-12,-3.5046980619e-12,0
144,6280,42002,5.7787143795e-12,-9.2237517861e-13,-5.7247776620e-13,0
144,4450,42002,7.4691084705e-12,-3.3302000433e-12,-4.0582863071e-13,0
144,9967,42003,4.5136736639e-12,-1.5588179636e-12,1.8304131849e-12,0
144,6394,42001,4.1774506682e-12,-2.0768404905e-12,-3.3826688280e-12,0
145,6280,42002,4.8479420400e-12,2.4522585989e-12,1.0126791371e-13,0
145,6394,42001,6.9512509575e-12,-1.8755613934e-12,-3.1388666015e-12,0
