 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5295471     7509195352  [I (java.base@21.0.11)
   2:       1284158     3995223896  [D (java.base@21.0.11)
   3:      92935324     3717412960  boxOfActin.Pt3D
   4:            14      344171616  [F (java.base@21.0.11)
   5:       7169691      344145168  boxOfActin.UCircRnd
   6:        784000      169344000  boxOfActin.MyoMotor
   7:        784000      163072000  boxOfActin.MyosinFixed
   8:        784000      156800000  boxOfActin.MyoLever
   9:        784000      156800000  boxOfActin.MyoRod
  10:       2389897      152953408  boxOfActin.Thing$RetObj
  11:             1      128000016  [LboxOfActin.Thing;
  12:          4826      126199056  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
  13:       2389897       95595880  boxOfActin.CollisionEvent
  14:       2389897       95595880  ec.util.MersenneTwisterFast
  15:        784000       87808000  boxOfActin.MyoFilLink
  16:       2393346       76587072  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  17:         37920       51614592  [Z (java.base@21.0.11)
  18:       1088866       43554640  boxOfActin.ValueTracker
  19:       2393109       38289744  java.lang.Integer (java.base@21.0.11)
  20:             2       32000032  [LboxOfActin.Myosin;
  21:             1       32000016  [LboxOfActin.MyoFilLink;
  22:             1       32000016  [LboxOfActin.MyoMotor;
  23:         37896       22434432  boxOfActin.FilSegment
  24:       1258392       20134272  java.lang.Object (java.base@21.0.11)
  25:            75       17071280  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
  26:         37897       10669712  [LboxOfActin.FilSegment;
  27:             2        8000032  [LboxOfActin.NodeLink;
  28:         37898        6749728  [LboxOfActin.Arp23;
  29:         83157        3272664  [Ljava.lang.Object; (java.base@21.0.11)
  30:         80006        3189032  [[I (java.base@21.0.11)
  31:         19748        1196424  [B (java.base@21.0.11)
  32:             2         800032  [LboxOfActin.FilLink;
  33:           604         489872  [[D (java.base@21.0.11)
  34:         18610         446640  java.lang.String (java.base@21.0.11)
  35:             2         400032  [LboxOfActin.MyosinDimer;
  36:             1         400016  [LboxOfActin.ProteinNode;
  37:           402         328032  [[[I (java.base@21.0.11)
  38:           401         327216  [[Ljava.lang.Object; (java.base@21.0.11)
  39:          2462         308480  java.lang.Class (java.base@21.0.11)
  40:          3201         230472  boxOfActin.GlidingAssayEvaluator$FilamentState
  41:          5568         222720  java.util.LinkedHashMap$Entry (java.base@21.0.11)
  42:          1627         163304  [Ljava.util.HashMap$Node; (java.base@21.0.11)
  43:          4184         133888  java.util.HashMap$Node (java.base@21.0.11)
  44:             2          80832  [LboxOfActin.ActA;
  45:           267          59512  [C (java.base@21.0.11)
  46:           566          58864  boxOfActin.FilLink
  47:           904          57856  java.util.LinkedHashMap (java.base@21.0.11)
  48:          2259          54216  java.util.ImmutableCollections$List12 (java.base@21.0.11)
  49:           529          46552  java.lang.reflect.Method (java.base@21.0.11)
  50:           849          40752  java.util.HashMap (java.base@21.0.11)
  51:             1          40016  [LboxOfActin.MyoMiniFilament;
