 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       2597505     3715709920  [I (java.base@21.0.11)
   2:        468926     2174971976  [D (java.base@21.0.11)
   3:      24002312      960092480  boxOfActin.Pt3D
   4:            14      176198832  [F (java.base@21.0.11)
   5:       3532806      169574688  boxOfActin.UCircRnd
   6:             1      128000016  [LboxOfActin.Thing;
   7:        392000       81536000  boxOfActin.MyosinFixed
   8:        392000       68992000  boxOfActin.MyoMotor
   9:        392000       59584000  boxOfActin.MyoLever
  10:        392000       59584000  boxOfActin.MyoRod
  11:       1177602       47104080  ec.util.MersenneTwisterFast
  12:        392000       43904000  boxOfActin.MyoFilLink
  13:       1181429       37805728  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  14:             2       32000032  [LboxOfActin.Myosin;
  15:             1       32000016  [LboxOfActin.MyoFilLink;
  16:             1       32000016  [LboxOfActin.MyoMotor;
  17:          1626       29820704  [Z (java.base@21.0.11)
  18:          1038       22822352  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
  19:       1177736       18843776  java.lang.Integer (java.base@21.0.11)
  20:        405384       16215360  boxOfActin.ValueTracker
  21:        613073        9809168  java.lang.Object (java.base@21.0.11)
  22:            60        8433504  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
  23:             2        8000032  [LboxOfActin.NodeLink;
  24:          1602        4281792  [LboxOfActin.FilSegment;
  25:         41862        1699232  [Ljava.lang.Object; (java.base@21.0.11)
  26:         40334        1605400  [[I (java.base@21.0.11)
  27:          1601         883752  boxOfActin.FilSegment
  28:             2         800032  [LboxOfActin.FilLink;
  29:         13975         656312  [B (java.base@21.0.11)
  30:             2         400032  [LboxOfActin.MyosinDimer;
  31:             1         400016  [LboxOfActin.ProteinNode;
  32:          1603         361808  [LboxOfActin.Arp23;
  33:         13417         322008  java.lang.String (java.base@21.0.11)
  34:           430         249752  [[D (java.base@21.0.11)
  35:          1810         230024  java.lang.Class (java.base@21.0.11)
  36:           286         167024  [[[I (java.base@21.0.11)
  37:           285         166440  [[Ljava.lang.Object; (java.base@21.0.11)
  38:          2876          92032  java.util.HashMap$Node (java.base@21.0.11)
  39:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.11)
  40:             2          80832  [LboxOfActin.ActA;
  41:           262          59304  [C (java.base@21.0.11)
  42:          1179          47160  java.lang.ref.SoftReference (java.base@21.0.11)
  43:             1          40016  [LboxOfActin.MyoMiniFilament;
  44:           283          38784  [Ljava.util.HashMap$Node; (java.base@21.0.11)
  45:          1063          34016  java.util.Locale (java.base@21.0.11)
  46:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.11)
  47:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.11)
  48:           256          32768  boxOfActin.ThreadSet$ThreadSpawn
  49:           352          26752  [Ljava.lang.ref.SoftReference; (java.base@21.0.11)
  50:           648          20736  java.lang.invoke.LambdaForm$Name (java.base@21.0.11)
  51:           420          20160  java.lang.invoke.MemberName (java.base@21.0.11)
  52:           192          19968  boxOfActin.FilLink
  53:           240          19200  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.11)
  54:           429          17160  java.lang.invoke.MethodType (java.base@21.0.11)
  55:           237          17064  boxOfActin.Parameter
  56:           452          14464  jdk.internal.util.WeakReferenceKey (java.base@21.0.11)
  57:            10          13904  [J (java.base@21.0.11)
  58:           287          13776  java.util.HashMap (java.base@21.0.11)
  59:           370          12200  [Ljava.lang.Class; (java.base@21.0.11)
  60:            64          11512  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.11)
  61:           278          11120  java.lang.Thread$FieldHolder (java.base@21.0.11)
  62:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.11)
  63:           174          10504  [Ljava.lang.String; (java.base@21.0.11)
  64:           262          10480  java.security.AccessControlContext (java.base@21.0.11)
  65:           367           8808  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.11)
  66:           182           8784  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.11)
  67:           357           8568  java.lang.invoke.ResolvedMethodName (java.base@21.0.11)
  68:           177           8496  java.lang.invoke.LambdaForm (java.base@21.0.11)
  69:           240           7680  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.11)
  70:           202           6464  java.lang.invoke.MethodTypeForm (java.base@21.0.11)
  71:           256           6144  java.lang.Long (java.base@21.0.11)
  72:           244           5856  java.util.ImmutableCollections$Set12 (java.base@21.0.11)
  73:           243           5832  [Ljava.security.ProtectionDomain; (java.base@21.0.11)
  74:           240           5760  java.lang.ThreadLocal$ThreadLocalMap (java.base@21.0.11)
  75:            39           5616  java.text.DecimalFormat (java.base@21.0.11)
  76:            62           4960  java.net.URI (java.base@21.0.11)
  77:            72           4608  java.util.concurrent.ConcurrentHashMap (java.base@21.0.11)
  78:           187           4488  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.11)
  79:           137           4384  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.11)
  80:           256           4096  java.lang.Byte (java.base@21.0.11)
  81:           256           4096  java.lang.Short (java.base@21.0.11)
  82:            85           4080  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.11)
  83:            62           3968  java.lang.module.ModuleDescriptor (java.base@21.0.11)
  84:            68           3808  java.lang.Module (java.base@21.0.11)
  85:           150           3600  java.util.ImmutableCollections$SetN (java.base@21.0.11)
  86:            40           3520  java.text.DecimalFormatSymbols (java.base@21.0.11)
  87:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.11)
  88:            86           3440  java.lang.invoke.DirectMethodHandle (java.base@21.0.11)
  89:           206           3296  java.util.HashSet (java.base@21.0.11)
  90:           103           2472  [[C (java.base@21.0.11)
  91:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.11)
  92:            18           2160  java.lang.Thread (java.base@21.0.11)
  93:           128           2048  java.lang.Character (java.base@21.0.11)
  94:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@21.0.11)
  95:            77           1848  java.util.ImmutableCollections$List12 (java.base@21.0.11)
  96:            37           1776  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.11)
  97:            44           1760  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.11)
  98:             3           1752  [[[D (java.base@21.0.11)
  99:            39           1560  java.text.DigitList (java.base@21.0.11)
 100:            62           1488  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.11)
 101:            62           1488  java.lang.module.ResolvedModule (java.base@21.0.11)
 102:            62           1488  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.11)
 103:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@21.0.11)
 104:            30           1440  boxOfActin.RunTimer
 105:             1           1400  [[B (java.base@21.0.11)
 106:            58           1392  java.lang.ProcessEnvironment$Value (java.base@21.0.11)
 107:            58           1392  java.lang.ProcessEnvironment$Variable (java.base@21.0.11)
 108:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@21.0.11)
 109:            17           1296  [LboxOfActin.ThreadSet$ThreadSpawn;
 110:            17           1224  java.lang.reflect.Field (java.base@21.0.11)
 111:             2           1168  [[[Ljava.lang.Object; (java.base@21.0.11)
 112:             2           1168  [[[[I (java.base@21.0.11)
 113:             8           1152  [Ljava.lang.invoke.MemberName; (java.base@21.0.11)
 114:            28           1120  java.io.ObjectStreamField (java.base@21.0.11)
 115:            17           1088  boxOfActin.Thing$RetObj
 116:             1           1040  [Ljava.lang.Byte; (java.base@21.0.11)
 117:             1           1040  [Ljava.lang.Integer; (java.base@21.0.11)
 118:             1           1040  [Ljava.lang.Long; (java.base@21.0.11)
 119:             1           1040  [Ljava.lang.Short; (java.base@21.0.11)
 120:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@21.0.11)
 121:             1            976  [LboxOfActin.Parameter;
 122:            15            960  java.lang.Class$ReflectionData (java.base@21.0.11)
 123:            40            960  java.util.ImmutableCollections$ListN (java.base@21.0.11)
 124:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@21.0.11)
 125:            17            952  boxOfActin.Thing$WorkerScratch
 126:            19            912  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.11)
 127:            33            792  java.lang.invoke.Invokers (java.base@21.0.11)
 128:            24            768  sun.font.EAttribute (java.desktop@21.0.11)
 129:            19            760  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.11)
 130:            30            720  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.11)
 131:            22            704  java.lang.reflect.ClassFileFormatVersion (java.base@21.0.11)
 132:            22            704  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.11)
 133:            17            680  boxOfActin.Barrier
 134:            17            680  boxOfActin.CollisionEvent
 135:            27            648  java.util.jar.Attributes$Name (java.base@21.0.11)
 136:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@21.0.11)
 137:             9            576  java.net.URL (java.base@21.0.11)
 138:             7            560  java.util.concurrent.TimeUnit (java.base@21.0.11)
 139:            10            560  sun.invoke.util.Wrapper (java.base@21.0.11)
 140:             1            528  [Ljava.lang.Character; (java.base@21.0.11)
 141:            11            528  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@21.0.11)
 142:             6            528  java.lang.reflect.Method (java.base@21.0.11)
 143:             9            504  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.11)
 144:            12            480  java.lang.OutOfMemoryError (java.base@21.0.11)
 145:            14            448  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21.0.11)
 146:            14            448  java.awt.Color (java.desktop@21.0.11)
 147:             7            448  java.nio.DirectByteBuffer (java.base@21.0.11)
 148:            11            440  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@21.0.11)
 149:            10            432  [Ljava.lang.invoke.MethodType; (java.base@21.0.11)
 150:             1            432  [[[C (java.base@21.0.11)
 151:             6            432  java.lang.reflect.Constructor (java.base@21.0.11)
 152:            18            432  java.text.DateFormat$Field (java.base@21.0.11)
 153:            13            416  java.lang.ref.ReferenceQueue (java.base@21.0.11)
 154:             3            408  sun.nio.fs.UnixFileAttributes (java.base@21.0.11)
 155:            23            368  java.awt.font.TextAttribute (java.desktop@21.0.11)
 156:            23            368  java.lang.Float (java.base@21.0.11)
 157:            15            360  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.11)
 158:            11            352  java.lang.invoke.SimpleMethodHandle (java.base@21.0.11)
 159:            22            352  java.util.concurrent.locks.ReentrantLock (java.base@21.0.11)
 160:             5            336  [Lsun.invoke.util.Wrapper; (java.base@21.0.11)
 161:             5            336  [S (java.base@21.0.11)
 162:             6            336  java.nio.DirectLongBufferU (java.base@21.0.11)
 163:            14            336  java.util.ArrayList (java.base@21.0.11)
 164:             7            336  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.11)
 165:             4            320  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.11)
 166:            10            320  java.util.regex.Pattern$Curly (java.base@21.0.11)
 167:            11            312  [Ljava.io.ObjectStreamField; (java.base@21.0.11)
 168:            13            312  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.11)
 169:             3            312  java.util.jar.JarFile$JarFileEntry (java.base@21.0.11)
 170:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@21.0.11)
 171:             2            288  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@21.0.11)
 172:             4            288  java.awt.Font (java.desktop@21.0.11)
 173:             6            288  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21.0.11)
 174:             6            288  java.util.stream.StreamOpFlag (java.base@21.0.11)
 175:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@21.0.11)
 176:             5            280  sun.util.calendar.ZoneInfo (java.base@21.0.11)
 177:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@21.0.11)
 178:             8            256  java.lang.invoke.VarForm (java.base@21.0.11)
 179:             8            256  java.math.RoundingMode (java.base@21.0.11)
 180:             8            256  java.util.Hashtable$Entry (java.base@21.0.11)
 181:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@21.0.11)
 182:             6            240  java.io.FileDescriptor (java.base@21.0.11)
 183:            10            240  java.lang.RuntimePermission (java.base@21.0.11)
