# Pt3D allocations grouped by first non-Pt3D caller (Pt3D total bytes: 33,895,306,544)

caller                                                                    samples   weighted_bytes     pct
------------------------------------------------------------------------------------------------------------
boxOfActin/MyoLever.moveThing                                                 272   10,264,130,928   30.3%
boxOfActin/MyoMotor.moveThing                                                 197   10,253,112,504   30.2%
boxOfActin/Thing$RetObj.<init>                                                266    8,514,887,480   25.1%
boxOfActin/MyoRod.moveThing                                                   201    3,707,083,872   10.9%
boxOfActin/Thing.end2AsPt3D                                                    56      616,722,280    1.8%
boxOfActin/Thing.end1AsPt3D                                                    59      426,729,360    1.3%
boxOfActin/FilSegment.moveThing                                                10       75,692,000    0.2%
boxOfActin/Thing.uVecRAsPt3D                                                    4       20,212,560    0.1%
boxOfActin/Thing.uVecAsPt3D                                                     6       16,735,560    0.0%
