 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        645492     2349266328  [D (java.base@21.0.11)
   2:      24973221      998928840  boxOfActin.Pt3D
   3:        259945      731045232  [I (java.base@21.0.11)
   4:            14      176198832  [F (java.base@21.0.11)
   5:             1      128000016  [LboxOfActin.Thing;
   6:        392000       81536000  boxOfActin.MyosinFixed
   7:        392000       62720000  boxOfActin.MyoMotor
   8:        392000       53312000  boxOfActin.MyoLever
   9:        392000       53312000  boxOfActin.MyoRod
  10:        392000       43904000  boxOfActin.MyoFilLink
  11:       1199133       38372256  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  12:             2       32000032  [LboxOfActin.Myosin;
  13:             1       32000016  [LboxOfActin.MyoFilLink;
  14:             1       32000016  [LboxOfActin.MyoMotor;
  15:         19204       30805072  [Z (java.base@21.0.11)
  16:          1467       23968224  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
  17:        546794       21871760  boxOfActin.ValueTracker
  18:       1196787       19148592  java.lang.Integer (java.base@21.0.11)
  19:         19179       10126512  boxOfActin.FilSegment
  20:        630709       10091344  java.lang.Object (java.base@21.0.11)
  21:            68        8434144  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
  22:             2        8000032  [LboxOfActin.NodeLink;
  23:         19180        7375520  [LboxOfActin.FilSegment;
  24:         19181        3455536  [LboxOfActin.Arp23;
  25:         41979        1704008  [Ljava.lang.Object; (java.base@21.0.11)
  26:         40334        1605400  [[I (java.base@21.0.11)
  27:             2         800032  [LboxOfActin.FilLink;
  28:         14432         715000  [B (java.base@21.0.11)
  29:             2         400032  [LboxOfActin.MyosinDimer;
  30:             1         400016  [LboxOfActin.ProteinNode;
  31:         13874         332976  java.lang.String (java.base@21.0.11)
  32:           430         249752  [[D (java.base@21.0.11)
  33:          1864         236456  java.lang.Class (java.base@21.0.11)
  34:           286         167024  [[[I (java.base@21.0.11)
  35:           285         166440  [[Ljava.lang.Object; (java.base@21.0.11)
  36:          1601         115272  boxOfActin.GlidingAssayEvaluator$FilamentState
  37:          2824          90368  java.util.HashMap$Node (java.base@21.0.11)
  38:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.11)
  39:             2          80832  [LboxOfActin.ActA;
  40:          1637          65480  java.util.LinkedHashMap$Entry (java.base@21.0.11)
  41:           265          59488  [C (java.base@21.0.11)
  42:           287          55232  [Ljava.util.HashMap$Node; (java.base@21.0.11)
  43:          1201          48040  java.lang.ref.SoftReference (java.base@21.0.11)
  44:           454          47216  boxOfActin.FilLink
  45:             1          40016  [LboxOfActin.MyoMiniFilament;
  46:          1063          34016  java.util.Locale (java.base@21.0.11)
  47:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.11)
  48:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.11)
  49:           256          32768  boxOfActin.ThreadSet$ThreadSpawn
  50:           428          32528  [Ljava.lang.ref.SoftReference; (java.base@21.0.11)
  51:           755          24160  java.lang.invoke.LambdaForm$Name (java.base@21.0.11)
  52:           469          22512  java.lang.invoke.MemberName (java.base@21.0.11)
  53:           257          20560  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.11)
  54:           492          19680  java.lang.invoke.MethodType (java.base@21.0.11)
  55:           237          17064  boxOfActin.Parameter
  56:           497          15904  jdk.internal.util.WeakReferenceKey (java.base@21.0.11)
  57:           428          14288  [Ljava.lang.Class; (java.base@21.0.11)
  58:           290          13920  java.util.HashMap (java.base@21.0.11)
  59:            10          13904  [J (java.base@21.0.11)
  60:            71          13472  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.11)
  61:           278          11120  java.lang.Thread$FieldHolder (java.base@21.0.11)
  62:           278          11120  java.security.AccessControlContext (java.base@21.0.11)
  63:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.11)
  64:           175          10560  [Ljava.lang.String; (java.base@21.0.11)
  65:           212          10296  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.11)
  66:           207           9936  java.lang.invoke.LambdaForm (java.base@21.0.11)
  67:           405           9720  java.lang.invoke.ResolvedMethodName (java.base@21.0.11)
  68:           367           8808  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.11)
  69:           261           8352  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.11)
  70:           242           7744  java.lang.invoke.MethodTypeForm (java.base@21.0.11)
  71:           259           6216  [Ljava.security.ProtectionDomain; (java.base@21.0.11)
  72:           257           6168  java.lang.ThreadLocal$ThreadLocalMap (java.base@21.0.11)
  73:           256           6144  java.lang.Long (java.base@21.0.11)
  74:           244           5856  java.util.ImmutableCollections$Set12 (java.base@21.0.11)
  75:            39           5616  java.text.DecimalFormat (java.base@21.0.11)
  76:            80           5120  java.util.concurrent.ConcurrentHashMap (java.base@21.0.11)
  77:           209           5016  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.11)
  78:            62           4960  java.net.URI (java.base@21.0.11)
  79:           103           4944  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.11)
  80:           137           4384  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.11)
  81:           256           4096  java.lang.Byte (java.base@21.0.11)
  82:           256           4096  java.lang.Short (java.base@21.0.11)
  83:            62           3968  java.lang.module.ModuleDescriptor (java.base@21.0.11)
  84:            97           3880  java.lang.invoke.DirectMethodHandle (java.base@21.0.11)
  85:            68           3808  java.lang.Module (java.base@21.0.11)
  86:           150           3600  java.util.ImmutableCollections$SetN (java.base@21.0.11)
  87:            40           3520  java.text.DecimalFormatSymbols (java.base@21.0.11)
  88:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.11)
  89:           205           3280  java.util.HashSet (java.base@21.0.11)
  90:           103           2472  [[C (java.base@21.0.11)
  91:            51           2448  boxOfActin.UCircRnd
  92:            57           2280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.11)
