label	path	seed	K1	K2	wallK1	wallK2	ms_step	exec_s	slotPack_s	demandSync_s	demandSyncCalls	slotCap	slotCount	err701	meanBound	gcalls
1x	cpu	1	500	2500	2.85	10.02	3.58	NA	NA	NA	NA	NA	NA	NA	3.076	NA
1x	gpu	1	500	2500	21.51	92.80	35.64	66.688	1.024	0.121	25	19602	10241	0	2.394	2511
1x	cpu	2	500	2500	2.78	10.28	3.75	NA	NA	NA	NA	NA	NA	NA	1.031	NA
1x	gpu	2	500	2500	21.61	92.91	35.65	65.493	1.917	0.130	25	19602	10233	0	2.617	2511
1x	cpu	3	500	2500	2.81	10.16	3.67	NA	NA	NA	NA	NA	NA	NA	3.594	NA
1x	gpu	3	500	2500	22.35	91.10	34.38	65.234	0.996	0.127	25	19602	10239	0	1.235	2511
8x	cpu	1	300	1300	14.15	55.35	41.20	NA	NA	NA	NA	NA	NA	NA	16.544	NA
8x	gpu	1	300	1300	28.00	97.54	69.54	59.460	5.839	0.202	13	156802	81916	0	11.659	1310
8x	cpu	2	300	1300	14.28	55.77	41.49	NA	NA	NA	NA	NA	NA	NA	15.740	NA
8x	gpu	2	300	1300	27.52	98.55	71.03	60.356	5.840	0.179	13	156802	82035	0	14.352	1310
8x	cpu	3	300	1300	15.08	60.67	45.59	NA	NA	NA	NA	NA	NA	NA	11.424	NA
8x	gpu	3	300	1300	27.14	97.00	69.86	59.094	5.792	0.187	13	156802	81895	0	12.560	1310
16x	cpu	1	200	700	16.84	52.02	70.36	NA	NA	NA	NA	NA	NA	NA	23.265	NA
16x	gpu	1	200	700	30.20	85.18	109.96	47.941	6.961	0.604	7	313602	163861	0	17.075	710
