label	N	path	seed	K1	K2	wallK1	wallK2	ms_step	exec_s	slotPack_s	jointPack_s	unpack_s	demandSync_s	demandSyncCalls	slotCap	slotCount	poseDeltaAvg	err701	meanBound	calls
1x	1.0	cpu	1	500	2500	2.88	10.07	3.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.180	NA
1x	1.0	gpu	1	500	2500	21.23	90.95	34.86	64.509	0.981	0.375	0.286	0.132	25	19602	10226	132.96	2511	1.623	2511
1x	1.0	cpu	2	500	2500	2.82	9.99	3.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.384	NA
1x	1.0	gpu	2	500	2500	21.16	90.09	34.47	63.934	1.013	0.388	0.424	0.122	25	19602	10251	131.38	2511	1.233	2511
1x	1.0	cpu	3	500	2500	2.85	10.39	3.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.173	NA
1x	1.0	gpu	3	500	2500	21.21	91.49	35.14	62.794	0.913	0.347	0.244	0.127	25	19602	10200	119.29	2511	2.154	2511
2x	2.0	cpu	1	500	2500	4.66	18.91	7.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656	NA
2x	2.0	gpu	1	500	2500	24.80	105.52	40.36	70.474	1.743	0.508	0.385	0.130	25	39202	20494	266.04	2511	2.252	2511
2x	2.0	cpu	2	500	2500	4.53	17.02	6.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.429	NA
2x	2.0	gpu	2	500	2500	25.19	105.27	40.04	70.899	1.796	0.536	0.414	0.133	25	39202	20487	259.33	2511	2.744	2511
2x	2.0	cpu	3	500	2500	4.44	17.10	6.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.223	NA
2x	2.0	gpu	3	500	2500	24.10	107.35	41.62	70.574	3.477	0.644	0.402	0.144	25	39202	20541	262.46	2511	4.742	2511
4x	4.0	cpu	1	400	2000	10.69	48.45	23.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.198	NA
4x	4.0	gpu	1	400	2000	25.54	106.89	50.84	68.260	3.440	0.816	0.665	0.185	20	78402	40939	570.95	2011	8.286	2011
4x	4.0	cpu	2	400	2000	10.58	48.66	23.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.030	NA
4x	4.0	gpu	2	400	2000	24.96	106.62	51.04	67.489	3.472	0.852	0.671	0.190	20	78402	40952	589.16	2011	5.075	2011
4x	4.0	cpu	3	400	2000	10.98	48.07	23.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.826	NA
4x	4.0	gpu	3	400	2000	25.70	107.65	51.22	68.234	4.426	0.903	0.689	0.170	20	78402	40953	589.95	2011	7.296	2011
8x	8.0	cpu	1	300	1300	13.89	54.67	40.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.625	NA
8x	8.0	gpu	1	300	1300	27.09	96.23	69.14	59.069	5.627	1.258	0.997	0.190	13	156802	81973	1467.92	1310	9.863	1310
8x	8.0	cpu	2	300	1300	14.26	53.91	39.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.795	NA
8x	8.0	gpu	2	300	1300	27.04	96.15	69.11	59.036	5.582	1.257	0.974	0.179	13	156802	81947	1533.25	1310	15.840	1310
8x	8.0	cpu	3	300	1300	13.89	54.21	40.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.289	NA
8x	8.0	gpu	3	300	1300	26.31	95.78	69.47	57.840	5.567	1.236	0.985	0.187	13	156802	81976	1440.92	1310	11.638	1310
16x	16.0	cpu	1	200	700	16.18	50.24	68.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.844	NA
16x	16.0	gpu	1	200	700	29.42	82.15	105.46	46.060	6.708	1.318	1.505	0.548	7	313602	164035	4543.83	710	16.949	710
